GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
intranet,dataxu.intranet.util,BadRequestException,4,0,0,0,2,0,1,0,1,0
intranet,dataxu.intranet.util,ResourceNotFoundException,17,0,0,0,4,0,2,0,2,0
intranet,dataxu.intranet.util,ToImmutableListCollector,0,19,0,0,0,8,0,7,0,7
intranet,dataxu.intranet.config,WebFilterConfig,0,10,0,0,0,2,0,2,0,2
intranet,dataxu.intranet.config,WebSecurityConfig,0,88,0,0,0,19,0,3,0,3
intranet,dataxu.intranet.config,JacksonConfig,0,17,0,0,0,5,0,2,0,2
intranet,dataxu.intranet.filter,CustomRandomHeaderFilter,0,25,0,0,0,7,0,2,0,2
intranet,dataxu.intranet.model,JsonRecommendationRepository,4,29,0,0,1,6,1,2,1,2
intranet,dataxu.intranet.model,JsonClientRepository,69,41,6,2,6,9,6,3,2,3
intranet,dataxu.intranet.model,Recommendation,22,39,3,3,5,10,6,5,3,5
intranet,dataxu.intranet.model,ChuckNorrisRandomStringRepository,4,50,1,1,1,10,1,3,0,3
intranet,dataxu.intranet.model,ValidationError,27,0,0,0,8,0,4,0,4,0
intranet,dataxu.intranet.model,Client,79,29,6,0,22,7,8,6,5,6
intranet,dataxu.intranet,Application,5,3,0,0,2,1,1,1,1,1
intranet,dataxu.intranet.controller,RootController,8,3,0,0,2,1,1,1,1,1
intranet,dataxu.intranet.controller,ExampleController,0,31,0,0,0,7,0,3,0,3
intranet,dataxu.intranet.controller,FilterExampleController,15,8,0,0,5,2,2,1,2,1
intranet,dataxu.intranet.controller,ClientController,31,3,2,0,6,1,4,1,3,1
intranet,dataxu.intranet.controller,NameController,105,12,12,0,21,3,8,1,2,1
intranet,dataxu.intranet.controller,SourceController,59,3,4,0,10,1,3,1,1,1
intranet,dataxu.intranet.controller,RecommendationController,4,3,0,0,1,1,1,1,1,1
