GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
intranet,dataxu.intranet.util,BadRequestException,4,0,0,0,2,0,1,0,1,0
intranet,dataxu.intranet.util,ResourceNotFoundException,17,0,0,0,4,0,2,0,2,0
intranet,dataxu.intranet.util,ToImmutableListCollector,19,0,0,0,8,0,7,0,7,0
intranet,dataxu.intranet.config,WebFilterConfig,10,0,0,0,2,0,2,0,2,0
intranet,dataxu.intranet.config,WebSecurityConfig,88,0,0,0,19,0,3,0,3,0
intranet,dataxu.intranet.config,JacksonConfig,17,0,0,0,5,0,2,0,2,0
intranet,dataxu.intranet.filter,CustomRandomHeaderFilter,0,25,0,0,0,7,0,2,0,2
intranet,dataxu.intranet.model,JsonRecommendationRepository,33,0,0,0,7,0,3,0,3,0
intranet,dataxu.intranet.model,JsonClientRepository,110,0,8,0,15,0,9,0,5,0
intranet,dataxu.intranet.model,Recommendation,61,0,6,0,15,0,11,0,8,0
intranet,dataxu.intranet.model,ChuckNorrisRandomStringRepository,54,0,2,0,11,0,4,0,3,0
intranet,dataxu.intranet.model,ValidationError,27,0,0,0,8,0,4,0,4,0
intranet,dataxu.intranet.model,Client,108,0,6,0,29,0,14,0,11,0
intranet,dataxu.intranet,Application,8,0,0,0,3,0,2,0,2,0
intranet,dataxu.intranet.controller,RootController,11,0,0,0,3,0,2,0,2,0
intranet,dataxu.intranet.controller,ExampleController,31,0,0,0,7,0,3,0,3,0
intranet,dataxu.intranet.controller,FilterExampleController,23,0,0,0,7,0,3,0,3,0
intranet,dataxu.intranet.controller,ClientController,34,0,2,0,7,0,5,0,4,0
intranet,dataxu.intranet.controller,NameController,117,0,12,0,24,0,9,0,3,0
intranet,dataxu.intranet.controller,SourceController,62,0,4,0,11,0,4,0,2,0
intranet,dataxu.intranet.controller,RecommendationController,7,0,0,0,2,0,2,0,2,0
